,Company Name,Datum,Status Rocket,Costs (Mio. USD),Status Mission,Site,Country,Rocket,Satellite
1112,Arianespace,"Wed Jan 23, 2002 23:46 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 42L'],['Insat 3C']
1113,Lockheed,"Wed Jan 16, 2002 00:30 UTC",StatusRetired,,Success,"['SLC-40, Cape Canaveral AFS, Florida']",[' USA'],['Titan IV(401)B'],['Milstar DFS-5']
1114,VKS RF,"Fri Dec 28, 2001 03:24 UTC",StatusRetired,,Success,"['Site 32/1, Plesetsk Cosmodrome']",[' Russia'],['Tsyklon-3'],['Cosmos 2384 to 2386 & Gonets 10 to 12']
1115,VKS RF,"Fri Dec 21, 2001 04:00 UTC",StatusRetired,,Success,"['Site 90/20, Baikonur Cosmodrome']",[' Kazakhstan'],['Tsyklon-2'],['Cosmos 2383']
1116,VKS RF,"Mon Dec 10, 2001 17:18 UTC",StatusRetired,,Success,"['Site 45/1, Baikonur Cosmodrome']",[' Kazakhstan'],['Zenit-2'],['Meteor 3M n†\xad1 & Others']
1117,Boeing,"Fri Dec 07, 2001 15:07 UTC",StatusRetired,,Success,"['SLC-2W, Vandenberg AFB, California']",[' USA'],['Delta II 7920-10C'],['Jason-1 / TIMED']
1118,NASA,"Wed Dec 05, 2001 22:19 UTC",StatusRetired,450.0 ,Success,"['LC-39B, Kennedy Space Center, Florida']",[' USA'],['Space Shuttle Endeavour'],['STS-108']
1119,Arianespace,"Tue Nov 27, 2001 05:59 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 44LP'],['DirecTV-4S']
1120,VKS RF,"Thu Oct 25, 2001 11:34 UTC",StatusRetired,,Success,"['Site 43/3, Plesetsk Cosmodrome']",[' Russia'],['Molniya-M /Block ML'],['Molniya-3 n†\xad171']
1121,ISRO,"Mon Oct 22, 2001 10:23 UTC",StatusRetired,25.0 ,Success,"['First Launch Pad, Satish Dhawan Space Centre']",[' India'],['PSLV-G'],"['TES, BIRD & PROBA']"
1122,Boeing,"Thu Oct 18, 2001 18:51 UTC",StatusRetired,,Success,"['SLC-2W, Vandenberg AFB, California']",[' USA'],['Delta II 7320-10C'],['QuickBird']
1123,Lockheed,"Thu Oct 11, 2001 02:32 UTC",StatusRetired,,Success,"['SLC-36B, Cape Canaveral AFS, Florida']",[' USA'],['Atlas IIAS'],['NROL-12']
1124,Lockheed,"Fri Oct 05, 2001 21:21 UTC",StatusRetired,,Success,"['SLC-4E, Vandenberg AFB, California']",[' USA'],['Titan IV(404)B'],['NROL-14 (KH-11 Kennen)']
1125,Lockheed,"Sun Sep 30, 2001 02:40 UTC",StatusRetired,,Success,"['LP-1, Pacific Spaceport Complex, Alaska']",[' USA'],['Athena I'],['Starshine 3 & Others']
1126,Arianespace,"Tue Sep 25, 2001 23:21 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 44P'],['Atlantic Bird 2']
1127,Northrop,"Fri Sep 21, 2001 18:49 UTC",StatusActive,45.0 ,Failure,"['SLC-576E, Vandenberg AFB, California']",[' USA'],['Minotaur C (Taurus)'],['Orbview-4/QuikTOMS']
